customer_id,monthly_revenue,estimated_remaining_months,estimated_clv,offer_type,retention_cost,expected_loss_if_churn,net_gain_if_retained
CUST_000001,75.56,18,1360.08,no_offer,0.0,0.0,1360.08
CUST_000002,59.24000000000001,12,710.88,no_offer,0.0,0.0,710.88
CUST_000003,62.290000000000006,12,747.48,no_offer,0.0,0.0,747.48
CUST_000004,66.8,18,1202.4,free_international_trial,10.0,0.0,1192.4
CUST_000005,52.089999999999996,6,312.54,no_offer,0.0,0.0,312.54
CUST_000006,67.61,18,1216.98,free_international_trial,10.0,0.0,1206.98
CUST_000007,78.31,18,1409.58,discount_20_percent,15.66,0.0,1393.92
CUST_000008,46.900000000000006,6,281.4,free_international_trial,10.0,0.0,271.4
CUST_000009,80.53999999999999,18,1449.72,free_international_trial,10.0,0.0,1439.72
CUST_000010,57.08,12,684.96,no_offer,0.0,0.0,684.96
CUST_000011,40.190000000000005,6,241.14,discount_10_percent,4.02,0.0,237.12
CUST_000012,59.64,12,715.68,discount_10_percent,5.96,0.0,709.72
CUST_000013,59.309999999999995,12,711.72,priority_support,15.0,0.0,696.72
CUST_000014,65.02,18,1170.36,no_offer,0.0,0.0,1170.36
CUST_000015,58.989999999999995,12,707.88,no_offer,0.0,0.0,707.88
CUST_000016,60.50000000000001,12,726.0,no_offer,0.0,0.0,726.0
CUST_000017,63.9,18,1150.2,discount_20_percent,12.78,0.0,1137.42
CUST_000018,59.0,12,708.0,no_offer,0.0,0.0,708.0
CUST_000019,36.019999999999996,6,216.12,no_offer,0.0,216.12,216.12
CUST_000020,48.06,6,288.36,discount_10_percent,4.81,0.0,283.55
CUST_000021,48.08,6,288.48,no_offer,0.0,0.0,288.48
CUST_000022,60.15,12,721.8,no_offer,0.0,0.0,721.8
CUST_000023,63.24,12,758.88,no_offer,0.0,0.0,758.88
CUST_000024,44.61,6,267.66,no_offer,0.0,0.0,267.66
CUST_000025,64.12,18,1154.16,no_offer,0.0,0.0,1154.16
CUST_000026,41.14,6,246.84,no_offer,0.0,0.0,246.84
CUST_000027,69.42999999999999,18,1249.74,no_offer,0.0,0.0,1249.74
CUST_000028,55.29,12,663.48,no_offer,0.0,0.0,663.48
CUST_000029,79.67999999999999,18,1434.24,no_offer,0.0,1434.24,1434.24
CUST_000030,58.49,12,701.88,no_offer,0.0,0.0,701.88
CUST_000031,66.72,18,1200.96,discount_20_percent,13.34,0.0,1187.62
CUST_000032,54.2,6,325.2,free_voicemail_month,5.0,0.0,320.2
CUST_000033,58.03,12,696.36,no_offer,0.0,0.0,696.36
CUST_000034,58.44,12,701.28,no_offer,0.0,0.0,701.28
CUST_000035,46.63999999999999,6,279.84,no_offer,0.0,0.0,279.84
CUST_000036,56.199999999999996,12,674.4,free_international_trial,10.0,674.4,664.4
CUST_000037,61.92999999999999,12,743.16,no_offer,0.0,0.0,743.16
CUST_000038,39.15,6,234.9,no_offer,0.0,0.0,234.9
CUST_000039,58.260000000000005,12,699.12,no_offer,0.0,0.0,699.12
CUST_000040,48.3,6,289.8,no_offer,0.0,0.0,289.8
CUST_000041,56.129999999999995,12,673.56,discount_10_percent,5.61,0.0,667.95
CUST_000042,47.25,6,283.5,no_offer,0.0,0.0,283.5
CUST_000043,68.32,18,1229.76,no_offer,0.0,0.0,1229.76
CUST_000044,68.49000000000001,18,1232.82,no_offer,0.0,0.0,1232.82
CUST_000045,62.76,12,753.12,no_offer,0.0,0.0,753.12
CUST_000046,56.14,12,673.68,priority_support,15.0,673.68,658.68
CUST_000047,65.94,18,1186.92,no_offer,0.0,0.0,1186.92
CUST_000048,45.370000000000005,6,272.22,no_offer,0.0,0.0,272.22
CUST_000049,49.849999999999994,6,299.1,no_offer,0.0,299.1,299.1
CUST_000050,65.82,18,1184.76,no_offer,0.0,0.0,1184.76
CUST_000051,57.67999999999999,12,692.16,no_offer,0.0,0.0,692.16
CUST_000052,71.41999999999999,18,1285.56,discount_20_percent,14.28,0.0,1271.28
CUST_000053,62.029999999999994,12,744.36,no_offer,0.0,0.0,744.36
CUST_000054,45.51,6,273.06,discount_10_percent,4.55,0.0,268.51
CUST_000055,50.89000000000001,6,305.34,no_offer,0.0,0.0,305.34
CUST_000056,70.46,18,1268.28,no_offer,0.0,0.0,1268.28
CUST_000057,46.88,6,281.28,free_international_trial,10.0,0.0,271.28
CUST_000058,63.42999999999999,12,761.16,no_offer,0.0,0.0,761.16
CUST_000059,55.199999999999996,12,662.4,no_offer,0.0,662.4,662.4
CUST_000060,72.08,18,1297.44,no_offer,0.0,0.0,1297.44
CUST_000061,68.96,18,1241.28,no_offer,0.0,1241.28,1241.28
CUST_000062,64.84,18,1167.12,no_offer,0.0,0.0,1167.12
CUST_000063,62.67999999999999,12,752.16,no_offer,0.0,0.0,752.16
CUST_000064,55.49999999999999,12,666.0,no_offer,0.0,0.0,666.0
CUST_000065,81.75,18,1471.5,discount_20_percent,16.35,0.0,1455.15
CUST_000066,27.02,6,162.12,no_offer,0.0,162.12,162.12
CUST_000067,56.459999999999994,12,677.52,no_offer,0.0,0.0,677.52
CUST_000068,73.63,18,1325.34,no_offer,0.0,0.0,1325.34
CUST_000069,69.96000000000001,18,1259.28,no_offer,0.0,0.0,1259.28
CUST_000070,50.599999999999994,6,303.6,no_offer,0.0,0.0,303.6
CUST_000071,77.16000000000001,18,1388.88,no_offer,0.0,0.0,1388.88
CUST_000072,68.94,18,1240.92,no_offer,0.0,1240.92,1240.92
CUST_000073,50.709999999999994,6,304.26,no_offer,0.0,304.26,304.26
CUST_000074,65.6,18,1180.8,discount_20_percent,13.12,0.0,1167.68
CUST_000075,48.72,6,292.32,no_offer,0.0,0.0,292.32
CUST_000076,74.64,18,1343.52,no_offer,0.0,0.0,1343.52
CUST_000077,48.96,6,293.76,no_offer,0.0,0.0,293.76
CUST_000078,49.36000000000001,6,296.16,no_offer,0.0,0.0,296.16
CUST_000079,72.6,18,1306.8,discount_20_percent,14.52,0.0,1292.28
CUST_000080,55.26,12,663.12,no_offer,0.0,0.0,663.12
CUST_000081,64.21000000000001,18,1155.78,no_offer,0.0,0.0,1155.78
CUST_000082,62.25000000000001,12,747.0,priority_support,15.0,0.0,732.0
CUST_000083,62.809999999999995,12,753.72,no_offer,0.0,753.72,753.72
CUST_000084,57.24,12,686.88,no_offer,0.0,0.0,686.88
CUST_000085,46.849999999999994,6,281.1,no_offer,0.0,0.0,281.1
CUST_000086,57.989999999999995,12,695.88,no_offer,0.0,0.0,695.88
CUST_000087,68.13,18,1226.34,priority_support,15.0,0.0,1211.34
CUST_000088,46.42999999999999,6,278.58,no_offer,0.0,0.0,278.58
